nct_id,brief_title,sponsor,start_date,primary_outcomes,start_year,period,outcome_categories,num_categories
NCT03195166,Hemodynamic Effects of Continuous Spinal Anesthesia in Patient Aged Over 65 Years,University Tunis El Manar,2017-11-03,hemodynamic profile during continuous spinal anesthesia in elderly,2017,2015-2019,,0
NCT03556696,Automatic Remifentanil Administration Guided by ANI During Propofol Anesthesia,"University Hospital, Lille",2018-06-27,normalized remifentanil administration,2018,2015-2019,,0
NCT04574908,A Pilot Trial of Continuous Portable Postoperative Hemodynamic And Saturation Monitoring On Hospital Wards,Wake Forest University Health Sciences,2020-10-07,Duration of Hypotension in Minutes | Duration of Tachycardia in Minutes | Duration of Hypoxemia (SpO2 < 90%) in Minutes,2020,2020-2025,Hypotension exposure,1
NCT02871193,Ultrasound-guided Thoracic Paravertebral Block Using Ropivacaine With/Without Dexamethasone in Elective Thoracotomy,The First Affiliated Hospital of Anhui Medical University,2016-06-01,the change of visual analogue scale(VAS) of patients with different treatment-related events in the following 3 days after thoracotomy | the reality pressing number of patient controlled analgesia(PCA) of patients with different treatment-related events in the following 3 days after surgery,2016,2015-2019,Pain,1
NCT03193320,Management of Intraoperative Fluids in Ambulatory Surgery,Policlinica Metropolitana,2020-12-01,Total volume of fluid infused intraoperatively | Time to discharge,2020,2020-2025,Length of stay,1
NCT07519733,Preoperative Exercise Testing and Perioperative Outcomes,Yale University,2025-07-23,Major adverse cardiovascular events,2025,2020-2025,,0
NCT06984172,Effectiveness of Remote Cardiac Rehab After Surgery for Acquired Heart Valve Disease,Hanoi Medical University,2025-06-01,Maximal oxygen uptake | Six-Minute Walk Test,2025,2020-2025,,0
NCT04432480,NIPE Monitoring Values During Routine Pediatric Anesthesia,"University Hospital, Lille",2020-06-23,Variation of the instantaneous NIPE index after opioid administration,2020,2020-2025,Pain,1
NCT07452367,Optic Nerve Sheath Diameter and Cognitive Outcomes in Bentall Surgery,Bursa Yuksek Ihtisas Training and Research Hospital,2025-08-30,Relationship between perioperative bilateral ONSD measurements and postoperative cognitive function,2025,2020-2025,Delirium / cognitive,1
NCT07099664,Use of the Aortic Time-velocity Integral Via Suprasternal Ultrasound to Search Preload Dependence in Paediatric Surgery : Kid's Fluid Management (FM),"University Hospital, Lille",2025-08-01,Aortic VTI variation (%) measured by suprasternal doppler in percent of mean aortic VTI.,2025,2020-2025,,0
